Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Adrianne,-,-,..,..,-,-,..,-,-,-,-,-,-,-,-,-,..,-,-,-
Adriel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Adrien,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adrienne,..,-,-,-,..,-,-,..,..,-,..,..,-,-,-,-,-,-,..,-
Adrija,-,-,-,-,-,-,-,-,-,-,-,..,..,-,..,-,-,-,..,..
Adrijana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,..,-
Adrika,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Adrina,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,..,-,-,-,-
Adrita,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Adyson,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Aebh,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aebha,-,-,-,-,-,-,-,-,-,-,..,-,..,..,-,-,-,-,-,-
Aebhla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Aedammair,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aedin,..,-,-,-,-,..,-,-,-,-,..,..,..,-,-,-,-,-,-,-
Aela,-,-,-,..,-,..,-,-,..,..,..,-,-,..,..,-,-,..,..,-
Aelilah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Aelisha,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-
Aelita,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Aemilia,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Aeniose,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Aeona,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-
Aerhyll,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Aerin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,..,..
Aerinne,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-
Aeris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Aerith,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Aeron,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aerona,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Aeryn,-,-,-,-,-,..,..,-,-,..,..,-,..,-,-,-,..,..,..,-
Aeryn-Rose,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Aesha,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Aeva,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,..,-
Aeyla,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
Afa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Afaf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Afayah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Affraic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Afia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,..,-,..,-
Afiadh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Afiya,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Afnan,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Afrah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Afreen,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
Africa,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Afsana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Afton,-,-,-,-,-,-,-,..,-,-,-,-,..,-,-,-,-,-,-,-
Agata,-,-,-,-,-,-,-,-,-,-,-,..,..,..,3,-,..,..,..,..
Agatha,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,..,-,-,-,..
Agathe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Aghna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Agne,-,-,-,-,-,-,-,-,-,-,-,..,..,-,-,-,3,-,-,-
Agnes,-,-,..,..,-,..,-,..,-,-,-,-,..,-,..,..,-,-,-,4
Agnese,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Agnia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Agnieszka,-,-,-,-,-,-,-,-,-,..,-,-,..,-,-,-,-,-,-,-
Agota,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Agotha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Agrejsa,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
