Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aimuavbosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Ainaras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Ainardas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Aindriu,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ainius,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-
Ainle,-,-,-,-,-,..,-,-,-,-,-,-,..,-,-,-,-,-,-,..
Ainoras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Ainsley,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Aiodhan,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aiofen,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Airanas,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Airidas,-,-,-,-,-,-,-,-,-,..,-,..,..,-,..,-,-,..,..,-
Airiz,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Aironas,-,-,-,-,-,-,-,-,-,..,..,-,..,..,..,..,..,-,3,..
Aistis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Aithin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Aivaras,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-
Aivars,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Aivinas,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aivis,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-
Aj,-,-,-,-,-,-,-,-,-,-,-,3,-,-,..,..,-,4,5,4
Ajai,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-
Ajay,-,-,-,-,..,..,..,..,..,5,3,..,..,..,..,-,..,3,..,..
A-jay,-,-,-,-,-,-,-,-,-,-,..,..,-,-,..,-,..,..,-,..
Ajibola,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-
Ajus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,..
Akachukwu,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Akand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Akaolisa,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
Akash,-,-,..,..,-,-,-,-,-,-,..,..,..,..,-,-,-,-,-,-
Akhil,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,..
Akim,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-
Akindele,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
Akinfolarin,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
Akinola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Akio,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Akira,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-
Akom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Akos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Akram,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,..,-,-,-
Aksel,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,..,-,-,-,-
Aksels,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Akshant,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Akshat,-,-,-,-,-,-,-,-,..,-,-,..,-,-,-,-,-,-,-,-
Akshay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Alain,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Al-Ameen,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
Alamin,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Al-amin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Alan,14,18,21,13,11,9,14,14,3,9,15,17,21,16,17,10,15,14,17,13
Alanas,-,-,-,-,-,-,-,-,-,-,-,-,-,..,..,-,-,-,-,-
Alan-james,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Alans,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,..,-
Alantas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Alasdair,..,..,..,-,-,..,..,..,-,..,..,-,-,-,-,-,3,-,-,-
Alashar,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Alastair,5,8,7,..,4,..,..,..,..,..,3,..,..,..,..,..,..,..,-,..
Alastar,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Albara,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Albert,5,..,-,-,..,..,-,-,..,..,4,-,..,3,5,..,..,3,..,..
Alberto,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-
Albi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Albie,-,-,-,-,-,-,-,-,-,-,..,-,..,..,..,-,..,..,4,5
Albin,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-
Alby,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,..,..,..
Aldas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Alden,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,..,-,-,-,-
Aldo,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aldrich,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Ale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Alec,-,..,..,-,-,..,4,3,..,5,..,..,3,..,..,3,3,..,3,3
Alec-James,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-
Aled,..,-,-,..,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-
Aleix,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Alejandro,-,-,..,-,..,-,-,-,-,-,..,-,-,..,-,..,-,-,-,..
Alek,-,-,-,-,..,-,-,-,-,-,..,-,-,-,-,-,-,-,..,-
Aleks,-,-,-,-,-,-,-,-,-,-,-,-,..,..,-,..,..,..,..,..
Aleksander,-,-,-,-,-,-,-,-,..,..,..,3,4,4,6,3,..,5,..,..
Aleksandr,-,-,-,-,..,-,-,-,-,-,-,..,-,-,..,-,-,..,-,..
Aleksandras,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-
Aleksandrs,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Aleksas,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Aleksejs,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-
Aleksi,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aleksis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Alekss,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,..,-,-,..,-
Aleksy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
